threads,time,K,D,Speedup,,,Threads,Time,,Threads,Time,D
1,13.5569,64,0.2,1,,,1,23.8163,,1,22.8516,0
2,7.72504,64,0.2,1.754929424,,,2,13.4874,,8,4.16991,0
4,3.96571,64,0.2,3.418530351,,,4,7.33515,,1,22.5195,0.05
8,2.54958,64,0.2,5.317307164,,,8,4.15181,,8,3.98798,0.05
1,26.6929,128,0.2,1,,,1,23.2835,,1,22.4576,0.1
2,14.9263,128,0.2,1.788313246,,,2,13.3976,,8,3.97432,0.1
4,7.89967,128,0.2,3.378989249,,,4,7.27442,,1,21.545,0.15
8,4.51699,128,0.2,5.909444121,,,8,4.05765,,8,3.84736,0.15
1,108.46,512,0.2,1,,,1,22.6328,,1,21.0695,0.2
2,61.3682,512,0.2,1.767364857,,,2,12.8398,,8,3.79438,0.2
4,33.384,512,0.2,3.24886173,,,4,7.06585,,,,
8,18.9882,512,0.2,5.711968486,,,8,4.08611,,,,
1,211.632,1024,0.2,1,,,1,22.2433,,,,
2,121.84,1024,0.2,1.736966513,,,2,12.4876,,,,
4,62.5377,1024,0.2,3.384070729,,,4,6.74792,,,,
8,38.549,1024,0.2,5.489947859,,,8,3.88137,,,,
1,422.635,2049,0.2,1,,,1,21.7053,,,,
2,242.029,2049,0.2,1.746216363,,,2,12.3452,,,,
4,125.394,2049,0.2,3.370456322,,,4,6.7372,,,,
8,72.0837,2049,0.2,5.863114685,,,8,3.99833,,,,
1,858.606,4096,0.2,1,,,1,22.8516,,,,
2,479.561,4096,0.2,1.79039997,,,2,12.9979,,,,
4,247.051,4096,0.2,3.475420055,,,4,6.77135,,,,
8,142.878,4096,0.2,6.009364633,,,8,4.16991,,,,
1,1686.88,8192,0.2,1,,,1,22.5195,,,,
2,956.895,8192,0.2,1.762868444,,,2,12.7281,,,,
4,503.388,8192,0.2,3.351053263,,,4,6.57018,,,,
8,286.074,8192,0.2,5.89665611,,,8,3.98798,,,,
1,3374.64,16384,0.2,1,,,1,22.4576,,,,
2,1894.08,16384,0.2,1.781677648,,,2,12.5122,,,,
4,1000.86,16384,0.2,3.371740303,,,4,6.60248,,,,
8,566.52,16384,0.2,5.956788816,,,8,3.97432,,,,
,,,,,,,1,21.545,,,,
,,,,,,,2,12.2996,,,,
,,,,,,,4,6.7418,,,,
,,,,,,,8,3.84736,,,,
,,,,,,,1,21.0695,,,,
,,,,,,,2,11.8696,,,,
,,,,,,,4,6.47197,,,,
,,,,,,,8,3.79438,,,,
